region,year,Nuevos_TBPFP,Incluidos,Curados,Abandonos,Fracaso,Fallecidos,TSC,Excluidos,p_abandonos
Cajamarca I,2012,55,50,48,0,0,1,1,1,0
Callao,2012,1181,1063,929,65,25,32,12,166,6.1
Chota Cajamarca II ,2012,6,8,8,0,0,0,0,0,0
Cusco,2012,409,369,314,14,5,36,0,38,3.8
Cutervo Cajamarca III ,2012,3,1,1,0,0,0,0,0,0
Huancavelica,2012,72,70,66,2,0,2,0,2,2.9
Huanuco,2012,343,314,295,1,6,12,0,23,0.3
Ica,2012,579,493,455,23,9,5,1,46,4.7
Jaen (Cajamarca),2012,83,95,84,3,5,3,0,0,3.2
Junin,2012,471,429,396,16,0,17,0,40,3.7
La Libertad,2012,912,891,801,47,7,31,5,51,5.3
Lambayeque,2012,492,397,336,39,13,1,8,20,9.8
Lima Ciudad,2012,3188,2376,2022,226,27,58,43,537,9.5
Lima Este,2012,3681,2639,2294,223,37,58,27,297,8.5
Regi—n Lima,2012,604,386,332,35,2,14,3,74,9.1
Lima Sur,2012,1361,1066,923,100,3,27,13,291,9.4
Loreto,2012,817,522,419,52,8,26,17,18,10
Madre de Dios,2012,169,145,126,8,1,7,3,18,5.5
Moquegua,2012,114,92,84,4,0,4,0,9,4.3
Pasco,2012,77,76,70,2,0,3,1,1,2.6
Piura I,2012,186,168,144,10,9,5,0,5,6
Puno,2012,250,237,210,7,0,17,3,13,3
San Martin,2012,230,18,18,0,0,0,0,1,0
Sullana Piura II,2012,112,105,92,10,1,2,0,7,9.5
Tacna,2012,296,267,242,14,0,11,0,29,5.2
Tumbes,2012,96,100,74,8,9,5,4,1,8
Ucayali,2012,609,41,33,3,2,1,2,12,7.3
Peru,2012,17653,13594,11895,948,178,426,147,1829,7
Amazonas,2013,63,70,53,2,0,0,,1,2.9
Ancash,2013,355,327,272,19,2,22,,30,5.8
Apurimac I,2013,48,50,40,0,0,4,,1,0
Apurimac II,2013,13,15,14,0,0,1,,0,0
Arequipa,2013,422,398,361,14,1,10,,24,3.5
Ayacucho,2013,218,207,184,0,0,15,,11,0
Cajamarca I,2013,63,4,4,0,0,0,,0,0
Callao,2013,1178,1063,837,98,22,21,,184,9.2
Chota Cajamarca II ,2013,14,14,13,0,0,1,,0,0
Cusco,2013,395,190,178,2,0,9,,17,1.1
Cutervo Cajamarca III ,2013,6,9,8,0,0,1,,0,0
Huancavelica,2013,58,56,54,0,0,2,,2,0
Huanuco,2013,274,263,211,4,3,9,,11,1.5
Ica,2013,412,387,340,30,8,9,,25,7.8
Jaen (Cajamarca),2013,41,35,29,2,1,1,,6,5.7
Junin,2013,459,422,346,12,3,23,,37,2.8
La Libertad,2013,822,729,621,47,7,35,,93,6.4
Lambayeque,2013,486,466,319,38,14,20,,20,8.2
Lima Ciudad,2013,4347,3586,2500,227,47,105,,594,6.3
Lima Este,2013,3024,2550,1942,226,22,61,,490,8.9
Region Lima,2013,453,396,306,32,2,16,,56,8.1
Lima Sur,2013,1342,1127,967,103,1,32,,214,9.1
Loreto,2013,858,853,683,51,6,31,,5,6
Madre de Dios,2013,172,160,140,11,0,6,,12,6.9
Moquegua,2013,84,83,75,4,0,2,,1,4.8
Pasco,2013,72,70,68,1,0,1,,2,1.4
Piura I,2013,173,165,141,13,0,6,,7,7.9
Puno,2013,254,245,196,10,1,26,,9,4.1
San Martin,2013,184,7,6,0,0,0,,1,0
Sullana Piura II,2013,90,83,71,4,1,2,,7,4.8
Tacna,2013,297,350,226,14,0,10,,30,4
Tumbes,2013,55,80,62,9,2,4,,4,11.3
Ucayali,2013,533,37,32,1,1,3,,24,2.7
Peru,2013,17265,14497,11299,974,144,488,,1918,6.7
